Pachyrhamphus,Fitzinger,1843,Preoccupied,,
Palaeocursornis,"Kessler,Jurcsák",1986,Valid,Early Cretaceous,europe
Paranurognathus,Peters,2005,Jr synonym,,
Parapsicephalus,von Arthaber,1919,Valid,Early Jurassic,europe
Peteinosaurus,Wild,1978,Valid,Late Triassic,europe
Phobetor,Bakhurina,1986,Jr synonym,,
Phosphatodraco,"Pereda-Suberbiola,Bardet,et al.",2003,Valid,Late Cretaceous,africa
Piksi,Varricchio,2002,Valid,Late Cretaceous,na
Plataleorhynchus,"Howse,Milner",1995,Valid,Late Jurassic to Early Cretaceous,europe
Prejanopterus,"Vidarte,Calvo",2010,Valid,Early Cretaceous,europe
Preondactylus,Wild,1983,Valid,Late Triassic,europe
Pricesaurus,"Bonaparte,Sanchez",1986,Nomen nudum,Early Cretaceous,sa
Procoelosaurus,Atanassov,2002,Nomen ex dissertatione,,
Ptenodactylus,Seeley,1869,Preoccupied,,
Ptenodracon,Lydekker,1888,Jr synonym,,
Pteranodon,Marsh,1876,Valid,Late Cretaceous,na
Pterodactyl,Rafinesque,1815,Valid,Late Jurassic.,"africa,europe"
Pterodactylus,Rafinesque,1815,Valid,Late Jurassic.,"africa,europe"
Pterodaustro,Bonaparte,1970,Valid,Early Cretaceous,sa
Pterofiltrus,"Jiang,Wang",2011,Valid,Early Cretaceous,asia
Pteromimus,Atanassov,2002,Nomen ex dissertatione,,
Pteromonodactylus,Teryaev,1967,Jr synonym,,
Pterorhynchus,"Czerkas,Q. Ji",2002,Valid,Late Jurassic,asia
Pterotherium,Fischer von Waldheim,1813,Jr synonym,,
Puntanipterus,"Bonaparte,Sanchez",1975,Valid,Late Jurassic to Early Cretaceous,sa
Qinglongopterus,"J. Lü,Unwin,et al.",2012,Valid,Middle Jurassic,asia
Quetzalcoatlus,Lawson,1975,Valid,Late Cretaceous,na
Radiodactylus,"Andres,Myers",2013,Valid,Early Cretaceous,na
Raeticodactylus,Stecher,2008,Jr synonym,,
Rhabdopelix,Cope,1870,Misidentification,,
Rhamphinion,Padian,1984,Valid,Early Jurassic,na
Rhamphocephalus,Seeley,1880,Valid,midjur,europe
Rhamphorhynchus,von Meyer,1846,Valid,Late Jurassic.,"africa,europe"
Santanadactylus,de Buisonjé,1980,Valid,Early Cretaceous,sa
Scaphognathus,Wagner,1861,Valid,Late Jurassic.,europe
Sericipterus,"Andres,Clark,X. Xing",2010,Valid,Late Jurassic,asia
Shenzhoupterus,"J. Lü,Unwin,et al.",2008,Valid,Early Cretaceous,asia
Sinopterus,"X. Wang,Z. Zhou",2003,Valid,Early Cretaceous,asia
Siroccopteryx,"Mader,Kellner",1999,Jr synonym,,
Sordes,Sharov,1971,Valid,Late Jurassic.,asia
Sultanuvaisia,Nesov,1981,Misidentification,Late Cretaceous,asia
Tapejara,Kellner,1989,Valid,Early Cretaceous,sa
Tendaguripterus,"Unwin,Heinrich",1999,Valid,Late Jurassic,africa
Thalassodromeus,"Kellner,Campos",2002,Valid,Early Cretaceous,sa
Tropeognathus,Wellnhofer,1987,Jr synonym,,
Tupandactylus,"Kellner,Campos",2007,Valid,Early Cretaceous,sa
Tupuxuara,"Kellner,Campos",1988,Valid,Late Cretaceous,"na,sa"
Uktenadactylus,"Rodrigues,Kellner",2008,Disputed,Early Cretaceous,na
Unwindia,Martill,2011,Valid,Late Cretaceous,sa
Utahdactylus,"Czerkas,Mickelson",2002,Disputed,,
Vectidraco,"Naish,Simpson,Dyke",2013,Valid,Early Cretaceous,europe
Volgadraco,"Averianov,Arkhangelsky,Pervushov",2008,Valid,Late Cretaceous.,asia
Wenupteryx,"Codorniú,Gasparini",2013,Valid,6|Late Jurassic]],sa
Wukongopterus,"X. Wang,Kellner,et al.",2009,Valid,Middle Jurassic,asia
Wyomingopteryx,Bakker,1994,Nomen nudum,,
Yixianopterus,"J. Lü,S. Ji,et al.",2006,Valid,Early Cretaceous,asia
Zhejiangopterus,"Z. Cai,F. Wei",1994,Valid,Late Cretaceous,asia
Zhenyuanopterus,J. Lü,2010,Valid,Early Cretaceous,asia
